slug,city,cityPrepositional,service,serviceSlug,phone,h1,title,description,price1,price2,price3,price4,faq1q,faq1a,faq2q,faq2a,faq3q,faq3a,districts
kp-abakan,Абакан,Абакане,Компьютерная помощь,kp,+7 (986) 089-07-04,Компьютерная помощь в Абакане — выезд за 30 минут,Компьютерная помощь в Абакане | Сервислид,"Компьютерная помощь в Абакане с выездом на дом. Настройка ПК, удаление вирусов, восстановление данных. Выезд мастера на дом. Звоните!",Диагностика — бесплатно,Настройка ПК — от 800 ₽,Удаление вирусов — от 1 000 ₽,Восстановление данных — от 1 500 ₽,Сколько стоит вызов компьютерная помощь?,Выезд и диагностика — бесплатно при выполнении работ. Точную стоимость назовёт мастер после осмотра.,Как быстро приедет мастер?,Мастер приедет в течение 30–60 минут по всему Абакане.,Даёте ли вы гарантию на работы?,"Да, гарантия на все виды работ — от 6 до 12 месяцев в зависимости от услуги.","Центральный, Советский, Ленинский, Октябрьский, Железнодорожный, Промышленный"
kp-arkhangelsk,Архангельск,Архангельске,Компьютерная помощь,kp,+7 (986) 089-07-04,Компьютерная помощь в Архангельске — выезд за 30 минут,Компьютерная помощь в Архангельске | Сервислид,"Компьютерная помощь в Архангельске с выездом на дом. Настройка ПК, удаление вирусов, восстановление данных. Выезд мастера на дом. Звоните!",Диагностика — бесплатно,Настройка ПК — от 800 ₽,Удаление вирусов — от 1 000 ₽,Восстановление данных — от 1 500 ₽,Сколько стоит вызов компьютерная помощь?,Выезд и диагностика — бесплатно при выполнении работ. Точную стоимость назовёт мастер после осмотра.,Как быстро приедет мастер?,Мастер приедет в течение 30–60 минут по всему Архангельске.,Даёте ли вы гарантию на работы?,"Да, гарантия на все виды работ — от 6 до 12 месяцев в зависимости от услуги.","Центральный, Советский, Ленинский, Октябрьский, Железнодорожный, Промышленный"
kp-astrakhan,Астрахань,Астрахани,Компьютерная помощь,kp,+7 (986) 089-07-04,Компьютерная помощь в Астрахани — выезд за 30 минут,Компьютерная помощь в Астрахани | Сервислид,"Компьютерная помощь в Астрахани с выездом на дом. Настройка ПК, удаление вирусов, восстановление данных. Выезд мастера на дом. Звоните!",Диагностика — бесплатно,Настройка ПК — от 800 ₽,Удаление вирусов — от 1 000 ₽,Восстановление данных — от 1 500 ₽,Сколько стоит вызов компьютерная помощь?,Выезд и диагностика — бесплатно при выполнении работ. Точную стоимость назовёт мастер после осмотра.,Как быстро приедет мастер?,Мастер приедет в течение 30–60 минут по всему Астрахани.,Даёте ли вы гарантию на работы?,"Да, гарантия на все виды работ — от 6 до 12 месяцев в зависимости от услуги.","Центральный, Советский, Ленинский, Октябрьский, Железнодорожный, Промышленный"
kp-balakovo,Балаково,Балаково,Компьютерная помощь,kp,+7 (986) 089-07-04,Компьютерная помощь в Балаково — выезд за 30 минут,Компьютерная помощь в Балаково | Сервислид,"Компьютерная помощь в Балаково с выездом на дом. Настройка ПК, удаление вирусов, восстановление данных. Выезд мастера на дом. Звоните!",Диагностика — бесплатно,Настройка ПК — от 800 ₽,Удаление вирусов — от 1 000 ₽,Восстановление данных — от 1 500 ₽,Сколько стоит вызов компьютерная помощь?,Выезд и диагностика — бесплатно при выполнении работ. Точную стоимость назовёт мастер после осмотра.,Как быстро приедет мастер?,Мастер приедет в течение 30–60 минут по всему Балаково.,Даёте ли вы гарантию на работы?,"Да, гарантия на все виды работ — от 6 до 12 месяцев в зависимости от услуги.","Центральный, Советский, Ленинский, Октябрьский, Железнодорожный, Промышленный"
kp-barnaul,Барнаул,Барнауле,Компьютерная помощь,kp,+7 (986) 089-07-04,Компьютерная помощь в Барнауле — выезд за 30 минут,Компьютерная помощь в Барнауле | Сервислид,"Компьютерная помощь в Барнауле с выездом на дом. Настройка ПК, удаление вирусов, восстановление данных. Выезд мастера на дом. Звоните!",Диагностика — бесплатно,Настройка ПК — от 800 ₽,Удаление вирусов — от 1 000 ₽,Восстановление данных — от 1 500 ₽,Сколько стоит вызов компьютерная помощь?,Выезд и диагностика — бесплатно при выполнении работ. Точную стоимость назовёт мастер после осмотра.,Как быстро приедет мастер?,Мастер приедет в течение 30–60 минут по всему Барнауле.,Даёте ли вы гарантию на работы?,"Да, гарантия на все виды работ — от 6 до 12 месяцев в зависимости от услуги.","Центральный, Советский, Ленинский, Октябрьский, Железнодорожный, Промышленный"
kp-belgorod,Белгород,Белгороде,Компьютерная помощь,kp,+7 (986) 089-07-04,Компьютерная помощь в Белгороде — выезд за 30 минут,Компьютерная помощь в Белгороде | Сервислид,"Компьютерная помощь в Белгороде с выездом на дом. Настройка ПК, удаление вирусов, восстановление данных. Выезд мастера на дом. Звоните!",Диагностика — бесплатно,Настройка ПК — от 800 ₽,Удаление вирусов — от 1 000 ₽,Восстановление данных — от 1 500 ₽,Сколько стоит вызов компьютерная помощь?,Выезд и диагностика — бесплатно при выполнении работ. Точную стоимость назовёт мастер после осмотра.,Как быстро приедет мастер?,Мастер приедет в течение 30–60 минут по всему Белгороде.,Даёте ли вы гарантию на работы?,"Да, гарантия на все виды работ — от 6 до 12 месяцев в зависимости от услуги.","Центральный, Советский, Ленинский, Октябрьский, Железнодорожный, Промышленный"
kp-bryansk,Брянск,Брянске,Компьютерная помощь,kp,+7 (986) 089-07-04,Компьютерная помощь в Брянске — выезд за 30 минут,Компьютерная помощь в Брянске | Сервислид,"Компьютерная помощь в Брянске с выездом на дом. Настройка ПК, удаление вирусов, восстановление данных. Выезд мастера на дом. Звоните!",Диагностика — бесплатно,Настройка ПК — от 800 ₽,Удаление вирусов — от 1 000 ₽,Восстановление данных — от 1 500 ₽,Сколько стоит вызов компьютерная помощь?,Выезд и диагностика — бесплатно при выполнении работ. Точную стоимость назовёт мастер после осмотра.,Как быстро приедет мастер?,Мастер приедет в течение 30–60 минут по всему Брянске.,Даёте ли вы гарантию на работы?,"Да, гарантия на все виды работ — от 6 до 12 месяцев в зависимости от услуги.","Центральный, Советский, Ленинский, Октябрьский, Железнодорожный, Промышленный"
kp-velikiy-novgorod,Великий Новгород,Великом Новгороде,Компьютерная помощь,kp,+7 (986) 089-07-04,Компьютерная помощь в Великом Новгороде — выезд за 30 минут,Компьютерная помощь в Великом Новгороде | Сервислид,"Компьютерная помощь в Великом Новгороде с выездом на дом. Настройка ПК, удаление вирусов, восстановление данных. Выезд мастера на дом. Звоните!",Диагностика — бесплатно,Настройка ПК — от 800 ₽,Удаление вирусов — от 1 000 ₽,Восстановление данных — от 1 500 ₽,Сколько стоит вызов компьютерная помощь?,Выезд и диагностика — бесплатно при выполнении работ. Точную стоимость назовёт мастер после осмотра.,Как быстро приедет мастер?,Мастер приедет в течение 30–60 минут по всему Великом Новгороде.,Даёте ли вы гарантию на работы?,"Да, гарантия на все виды работ — от 6 до 12 месяцев в зависимости от услуги.","Центральный, Советский, Ленинский, Октябрьский, Железнодорожный, Промышленный"
kp-vladivostok,Владивосток,Владивостоке,Компьютерная помощь,kp,+7 (986) 089-07-04,Компьютерная помощь в Владивостоке — выезд за 30 минут,Компьютерная помощь в Владивостоке | Сервислид,"Компьютерная помощь в Владивостоке с выездом на дом. Настройка ПК, удаление вирусов, восстановление данных. Выезд мастера на дом. Звоните!",Диагностика — бесплатно,Настройка ПК — от 800 ₽,Удаление вирусов — от 1 000 ₽,Восстановление данных — от 1 500 ₽,Сколько стоит вызов компьютерная помощь?,Выезд и диагностика — бесплатно при выполнении работ. Точную стоимость назовёт мастер после осмотра.,Как быстро приедет мастер?,Мастер приедет в течение 30–60 минут по всему Владивостоке.,Даёте ли вы гарантию на работы?,"Да, гарантия на все виды работ — от 6 до 12 месяцев в зависимости от услуги.","Центральный, Советский, Ленинский, Октябрьский, Железнодорожный, Промышленный"
kp-vladimir,Владимир,Владимире,Компьютерная помощь,kp,+7 (986) 089-07-04,Компьютерная помощь в Владимире — выезд за 30 минут,Компьютерная помощь в Владимире | Сервислид,"Компьютерная помощь в Владимире с выездом на дом. Настройка ПК, удаление вирусов, восстановление данных. Выезд мастера на дом. Звоните!",Диагностика — бесплатно,Настройка ПК — от 800 ₽,Удаление вирусов — от 1 000 ₽,Восстановление данных — от 1 500 ₽,Сколько стоит вызов компьютерная помощь?,Выезд и диагностика — бесплатно при выполнении работ. Точную стоимость назовёт мастер после осмотра.,Как быстро приедет мастер?,Мастер приедет в течение 30–60 минут по всему Владимире.,Даёте ли вы гарантию на работы?,"Да, гарантия на все виды работ — от 6 до 12 месяцев в зависимости от услуги.","Центральный, Советский, Ленинский, Октябрьский, Железнодорожный, Промышленный"
