url,titleBefore,titleAfter,h1Before,h1After,internalLinksBefore,internalLinksAfter,contentBlocksChanged
https://master-na-dom.online/remont-holodilnikov-aramil,"Ремонт холодильников в Арамиле: выезд 30 мин, без предоплаты",NO CHANGE,Ремонт холодильников в Арамиле — выезд за 30 минут,NO CHANGE,57,57 (unchanged),"none - title/H1 already well-optimized, OBSERVE per aramil-regression.md"
https://master-na-dom.online/remont-stiralnyh-mashin-aramil,"Ремонт стиральных машин в Арамиле — оплата после работ, 24/7",NO CHANGE,Ремонт стиральных машин в Арамиле — выезд за 30 минут,NO CHANGE,52,52 (unchanged),none - OBSERVE per aramil-regression.md
https://master-na-dom.online/master-na-chas-novokuybyshevsk,(title per lib/seo/meta.ts buildGeoTitle),NO CHANGE,Мастер на час в Новокуйбышевске — любые бытовые работы,NO CHANGE,8,8 (unchanged),"none - already matches template, on par with winners"
https://master-na-dom.online/remont-holodilnikov-kostroma,(title per buildGeoTitle),NO CHANGE,Ремонт холодильников в Костроме — выезд за 30 минут,NO CHANGE,57,57 (unchanged),none
https://master-na-dom.online/master-na-chas-engels,(title per buildGeoTitle),NO CHANGE,Мастер на час в Энгельсе — любые бытовые работы,NO CHANGE,8,8 (unchanged),none
https://master-na-dom.online/remont-kondicionerov-tolyatti,(title per buildGeoTitle),NO CHANGE (intro extension proposed - see below),Ремонт кондиционеров в Тольятти — выезд за 30 минут,NO CHANGE,50,50 (unchanged),"intro BEFORE: ""Ремонт кондиционеров на дом в Тольятти — мастер приедет от 30 минут. Выезжаем во все районы: Автозаводский, Центральный, Комсомольский и другие. Диагностика бесплатно, оплата после работ."" | intro AFTER: ""Ремонт кондиционеров на дом в Тольятти — мастер приедет от 30 минут. Выезжаем во все районы: Автозаводский, Центральный, Комсомольский и другие. Диагностика бесплатно, оплата после работ. Если ищете мастера по кондиционерам — это тот самый адрес."""
https://master-na-dom.online/remont-pmm-kemerovo,(title per buildGeoTitle),NO CHANGE,Ремонт посудомоечных машин в Кемерово — выезд за 30 минут,NO CHANGE,46,46 (unchanged),none
https://master-na-dom.online/remont-holodilnikov-tomsk,(title per buildGeoTitle),NO CHANGE (intro extension proposed),Ремонт холодильников в Томске — выезд за 30 минут,NO CHANGE,57,57 (unchanged),"intro BEFORE: ""Ремонт холодильников на дом в Томске — мастер приедет от 30 минут. Знаем местный жилфонд: ... Диагностика бесплатно, оплата после работ."" | intro AFTER: ""Ремонт холодильников на дом в Томске — мастер приедет от 30 минут. Знаем местный жилфонд: ... Диагностика бесплатно, оплата после работ. Если нужен мастер по ремонту холодильника — обращайтесь, работаем и с такими заявками."""
https://master-na-dom.online/master-na-chas-tula,(title per buildGeoTitle),NO CHANGE,Мастер на час в Туле — любые бытовые работы,NO CHANGE,157,157 (unchanged),"none - already has 157 links in (outlier vs winner 8), no linking gap"
https://master-na-dom.online/santehnik-bor,(title per buildGeoTitle),NO CHANGE,Сантехник в Бору — выезд за 30 минут,NO CHANGE,12,12 (unchanged),none
https://master-na-dom.online/remont-stiralnyh-mashin-volzhskiy,(title per buildGeoTitle),NO CHANGE,Ремонт стиральных машин в Волжском — выезд за 30 минут,NO CHANGE,52,52 (unchanged),none
https://master-na-dom.online/remont-pmm-volzhskiy,(title per buildGeoTitle),NO CHANGE (intro extension proposed),Ремонт посудомоечных машин в Волжском — выезд за 30 минут,NO CHANGE,46,46 (unchanged),"intro BEFORE: ""Ремонт посудомоечных машин в Волжском с выездом на дом: мастер будет у вас от 30 минут. Учитываем местную воду — жёсткая, много накипи. Диагностика бесплатно, оплата после работ."" | intro AFTER: ""Ремонт посудомоечных машин в Волжском с выездом на дом: мастер будет у вас от 30 минут. Учитываем местную воду — жёсткая, много накипи. Диагностика бесплатно, оплата после работ. Часто эту услугу называют просто «ремонт посудомойки» — это то же самое, обращайтесь."""
