keyword,url,position,previousPosition,frequency,city,service,group
вызов сантехника на дом кирово-чепецк,https://master-na-dom.online/santehnik-kirovo-chepetsk,17,19,0,Кирово-Чепецк,Сантехник,CONTROL_GROUP
частный сантехник богородск,https://master-na-dom.online/santehnik-bogorodsk,20,18,0,Богородск,Сантехник,CONTROL_GROUP
мастер по ремонту холодильников верхняя пышма,https://master-na-dom.online/remont-holodilnikov-verkhnyaya-pyshma,11,4,0,Верхняя Пышма,Ремонт холодильников,CONTROL_GROUP
ремонт холодильника коркино недорого,https://master-na-dom.online/remont-holodilnikov-korkino,16,8,0,Коркино,Ремонт холодильников,CONTROL_GROUP
мастер по ремонту стиральных машин новочебоксарск,https://master-na-dom.online/remont-stiralnyh-mashin-novocheboksarsk,13,8,0,Новочебоксарск,Ремонт стиральных машин,CONTROL_GROUP
ремонт стиральных машин в жигулёвск на дому,https://master-na-dom.online/remont-stiralnyh-mashin-zhigulyovsk,11,9,0,Жигулёвск,Ремонт стиральных машин,CONTROL_GROUP
мелкий ремонт на дому жигулёвск,https://master-na-dom.online/master-na-chas-zhigulyovsk,12,10,0,Жигулёвск,Мастер на час,CONTROL_GROUP
мастер по кондиционерам берёзовский,https://master-na-dom.online/remont-kondicionerov-beryozovskiy,12,11,0,Берёзовский,Ремонт кондиционеров,CONTROL_GROUP
ремонт кондиционеров верхняя пышма,https://master-na-dom.online/remont-kondicionerov-verkhnyaya-pyshma,16,16,0,Верхняя Пышма,Ремонт кондиционеров,CONTROL_GROUP
ремонт посудомоечных машин арамиль,https://master-na-dom.online/remont-pmm-aramil,11,13,0,Арамиль,Ремонт посудомоечных машин,CONTROL_GROUP
ремонт посудомоечных машин в астрахань на дому,https://master-na-dom.online/remont-pmm-astrakhan,17,4,0,Астрахань,Ремонт посудомоечных машин,CONTROL_GROUP
вызов электрика на дом михайловск,https://master-na-dom.online/elektrik-mikhaylovsk,14,,0,Михайловск,Электрик,CONTROL_GROUP
