keyword,url,position,previousPosition,frequency,region,pageType,bucket,positionWeight,intentMultiplier,score
ремонт холодильников арамиль,https://master-na-dom.online/remont-holodilnikov-aramil,16,7,99,Арамиль,SERVICE_CITY,11-20,10,1.2,79.9
ремонт стиральных машин арамиль,https://master-na-dom.online/remont-stiralnyh-mashin-aramil,11,17,46,Арамиль,SERVICE_CITY,11-20,10,1.2,67.02
мастер по кондиционерам тольятти,https://master-na-dom.online/remont-kondicionerov-tolyatti,30,,36,Тольятти,SERVICE_CITY,21-30,8,1.2,50.38
электрик энгельс,https://master-na-dom.online/elektrik-engels,45,,998,Энгельс,SERVICE_CITY,31-50,4,1.2,47.84
ремонт холодильников оренбург,https://master-na-dom.online/remont-holodilnikov-orenburg,46,88,868,Оренбург,SERVICE_CITY,31-50,4,1.2,46.87
ремонт телевизоров вологда,https://master-na-dom.online/remont-televizorov-vologda,42,87,757,Вологда,SERVICE_CITY,31-50,4,1.2,45.93
ремонт посудомоечных машин кемерово,https://master-na-dom.online/remont-pmm-kemerovo,30,74,22,Кемерово,SERVICE_CITY,21-30,8,1.2,44.02
мастер по ремонту холодильников томск,https://master-na-dom.online/remont-holodilnikov-tomsk,24,,15,Томск,SERVICE_CITY,21-30,8,1.2,39.24
мастер на час новокуйбышевск,https://master-na-dom.online/master-na-chas-novokuybyshevsk,19,19,6,Новокуйбышевск,SERVICE_CITY,11-20,10,1.2,36
ремонт холодильников кострома,https://master-na-dom.online/remont-holodilnikov-kostroma,15,61,5,Кострома,SERVICE_CITY,11-20,10,1.2,33.69
ремонт посудомоечных машин томск,https://master-na-dom.online/remont-pmm-tomsk,33,,78,Томск,SERVICE_CITY,31-50,4,1.2,30.35
ремонт стиральных машин в кемерово на дому,https://master-na-dom.online/remont-stiralnyh-mashin-kemerovo,32,,49,Кемерово,SERVICE_CITY,31-50,4,1.2,27.23
мастер на дом тула,https://master-na-dom.online/master-na-chas-tula,25,25,5,Тула,SERVICE_CITY,21-30,8,1.2,26.95
сантехник бор,https://master-na-dom.online/santehnik-bor,26,26,4,Бор,SERVICE_CITY,21-30,8,1.2,24.82
ремонт кофемашин в калининград,https://master-na-dom.online/remont-kofemashin-kaliningrad,48,54,20,Калининград,SERVICE_CITY,31-50,4,1.2,21.41
ремонт стиральной машины волжский недорого,https://master-na-dom.online/remont-stiralnyh-mashin-volzhskiy,24,12,2,Волжский,SERVICE_CITY,21-30,8,1.2,19.2
мастер на час энгельс,https://master-na-dom.online/master-na-chas-engels,17,19,1,Энгельс,SERVICE_CITY,11-20,10,1.2,19.02
