keyword,url,position,previousPosition,frequency,city,service,wave
ремонт холодильников арамиль,https://master-na-dom.online/remont-holodilnikov-aramil,16,7,99,Арамиль,Ремонт холодильников,SEO_WAVE_1
ремонт стиральных машин арамиль,https://master-na-dom.online/remont-stiralnyh-mashin-aramil,11,17,46,Арамиль,Ремонт стиральных машин,SEO_WAVE_1
мастер на час новокуйбышевск,https://master-na-dom.online/master-na-chas-novokuybyshevsk,19,19,6,Новокуйбышевск,Мастер на час,SEO_WAVE_1
ремонт холодильников кострома,https://master-na-dom.online/remont-holodilnikov-kostroma,15,61,5,Кострома,Ремонт холодильников,SEO_WAVE_1
мастер на час энгельс,https://master-na-dom.online/master-na-chas-engels,17,19,1,Энгельс,Мастер на час,SEO_WAVE_1
мастер по кондиционерам тольятти,https://master-na-dom.online/remont-kondicionerov-tolyatti,30,,36,Тольятти,Ремонт кондиционеров,SEO_WAVE_1
ремонт посудомоечных машин кемерово,https://master-na-dom.online/remont-pmm-kemerovo,30,74,22,Кемерово,Ремонт посудомоечных машин,SEO_WAVE_1
мастер по ремонту холодильников томск,https://master-na-dom.online/remont-holodilnikov-tomsk,24,,15,Томск,Ремонт холодильников,SEO_WAVE_1
мастер на дом тула,https://master-na-dom.online/master-na-chas-tula,25,25,5,Тула,Мастер на час,SEO_WAVE_1
сантехник бор,https://master-na-dom.online/santehnik-bor,26,26,4,Бор,Сантехник,SEO_WAVE_1
ремонт стиральной машины волжский недорого,https://master-na-dom.online/remont-stiralnyh-mashin-volzhskiy,24,12,2,Волжский,Ремонт стиральных машин,SEO_WAVE_1
ремонт посудомойки волжский,https://master-na-dom.online/remont-pmm-volzhskiy,22,,1,Волжский,Ремонт посудомоечных машин,SEO_WAVE_1
