wave1_url,winner_url,wave1_titleLen,winner_titleLen,wave1_h1,winner_h1,wave1_wordCount,winner_wordCount,wave1_linksIn,winner_linksIn,wave1_linksOut,winner_linksOut,wave1_clickDepth,winner_clickDepth,wave1_hasFAQ,winner_hasFAQ,wave1_hasPrices,winner_hasPrices,wave1_hasLocalContent,winner_hasLocalContent,wave1_schemaCount,winner_schemaCount
https://master-na-dom.online/remont-holodilnikov-aramil,https://master-na-dom.online/remont-holodilnikov-tutaev,60,60,Ремонт холодильников в Арамиле — выезд за 30 минут,Ремонт холодильников в Тутаеве — выезд за 30 минут,225,270,57,57,61,61,2,2,true,true,true,true,true,true,6,6
https://master-na-dom.online/remont-stiralnyh-mashin-aramil,https://master-na-dom.online/remont-stiralnyh-mashin-zelenogradsk,60,60,Ремонт стиральных машин в Арамиле — выезд за 30 минут,Ремонт стиральных машин в Зеленоградске — выезд за 30 минут,260,264,52,52,56,56,2,2,true,true,true,true,true,true,6,6
https://master-na-dom.online/master-na-chas-novokuybyshevsk,https://master-na-dom.online/master-na-chas-adygeysk,58,59,Мастер на час в Новокуйбышевске — любые бытовые работы,Мастер на час в Адыгейске — любые бытовые работы,388,274,8,8,28,28,2,2,true,true,true,true,true,true,6,6
https://master-na-dom.online/remont-holodilnikov-kostroma,https://master-na-dom.online/remont-holodilnikov-gryazi,58,58,Ремонт холодильников в Костроме — выезд за 30 минут,Ремонт холодильников в Грязи — выезд за 30 минут,382,265,57,57,61,61,2,2,true,true,true,true,true,true,6,6
https://master-na-dom.online/master-na-chas-engels,https://master-na-dom.online/master-na-chas-adygeysk,58,59,Мастер на час в Энгельсе — любые бытовые работы,Мастер на час в Адыгейске — любые бытовые работы,349,274,8,8,28,28,2,2,true,true,true,true,true,true,6,6
https://master-na-dom.online/remont-kondicionerov-tolyatti,https://master-na-dom.online/remont-kondicionerov-novocheboksarsk,58,59,Ремонт кондиционеров в Тольятти — выезд за 30 минут,Ремонт кондиционеров в Новочебоксарске — выезд за 30 минут,393,354,50,50,54,54,2,2,true,true,true,true,true,true,6,6
https://master-na-dom.online/remont-pmm-kemerovo,https://master-na-dom.online/remont-pmm-zelenogradsk,58,57,Ремонт посудомоечных машин в Кемерово — выезд за 30 минут,Ремонт посудомоечных машин в Зеленоградске — выезд за 30 минут,301,297,46,46,50,50,2,2,true,true,true,true,true,true,6,6
https://master-na-dom.online/remont-holodilnikov-tomsk,https://master-na-dom.online/remont-holodilnikov-baltiysk,59,59,Ремонт холодильников в Томске — выезд за 30 минут,Ремонт холодильников в Балтийске — выезд за 30 минут,296,248,57,57,61,61,2,2,true,true,true,true,true,true,6,6
https://master-na-dom.online/master-na-chas-tula,https://master-na-dom.online/master-na-chas-adygeysk,54,59,Мастер на час в Туле — любые бытовые работы,Мастер на час в Адыгейске — любые бытовые работы,484,274,157,8,28,28,2,2,true,true,true,true,true,true,6,6
https://master-na-dom.online/santehnik-bor,https://master-na-dom.online/santehnik-adygeysk,50,55,Сантехник в Бору — выезд за 30 минут,Сантехник в Адыгейске — выезд за 30 минут,376,272,12,12,30,30,2,2,true,true,true,true,true,true,6,6
https://master-na-dom.online/remont-stiralnyh-mashin-volzhskiy,https://master-na-dom.online/remont-stiralnyh-mashin-kamyzyak,55,55,Ремонт стиральных машин в Волжском — выезд за 30 минут,Ремонт стиральных машин в Камызяке — выезд за 30 минут,395,263,52,52,56,56,2,2,true,true,true,true,true,true,6,6
https://master-na-dom.online/remont-pmm-volzhskiy,https://master-na-dom.online/remont-pmm-svetlogorsk,58,56,Ремонт посудомоечных машин в Волжском — выезд за 30 минут,Ремонт посудомоечных машин в Светлогорске — выезд за 30 минут,408,252,46,46,50,50,2,2,true,true,true,true,true,true,6,6
